Eye,Aftereffect,Group
-22.54466415,-1.44508641,1
-11.00319513,-13.58514865,1
5.605039826,0.002109277,1
-7.278894498,1.715157731,1
-25.70407082,-5.221050449,1
-1.05421328,-17.87241847,1
-0.203377841,-6.33985702,1
1.276889812,-13.55469035,1
-21.3778304,-7.896334711,1
-5.351372938,-34.13536611,1
-22.27615282,5.378541966,2
-50.24240859,2.531942681,2
-8.560244092,-1.632931225,2
-18.41287651,-0.536052339,2
3.590292426,-6.537781571,2
10.57886369,0.894990344,2
-41.52120403,2.870980736,2
-8.499633814,0.395023806,2
6.879582073,-1.732233097,2
